TCGA-19-4065-02A-11R-2005-01,TCGA-19-0957-02A-11R-2005-01,TCGA-06-0152-02A-01R-2005-01,TCGA-14-1402-02A-01R-2005-01,TCGA-14-0736-02A-01R-2005-01,TCGA-06-5410-01A-01R-1849-01,TCGA-19-5960-01A-11R-1850-01,TCGA-14-0781-01B-01R-1849-01,TCGA-02-2483-01A-01R-1849-01,TCGA-06-2570-01A-01R-1849-01
0,1,0,0,43,0,0,0,0,0
19,14,22,42,8,3,3,12,0,0
0,0,0,0,112,25,0,5,1,0
0,1,0,26,20,0,0,0,0,0
0,0,0,48,0,0,0,0,0,0
0,82,0,0,0,0,1,4,0,1
8,36,5,13,48,12,3,0,4,2
0,0,6,71,0,2,0,0,1,2
0,97,2,0,0,1,5,2,1,2
11,2,7,11,78,8,5,7,3,0
4,9,2,11,67,1,3,6,1,2
8,1,1,45,27,1,1,2,3,0
8,42,0,7,32,0,2,6,1,0
97,5,10,1,3,3,1,2,9,3
1,2,86,6,22,8,4,6,1,0
9,5,1,5,95,11,5,8,2,0
4,5,2,1,75,0,0,0,8,1
0,21,2,4,94,24,3,2,0,0
1,3,0,4,82,0,0,2,0,8
109,0,4,3,0,5,0,11,0,1
0,0,0,21,79,11,0,3,0,1
7,5,5,6,102,6,7,5,11,1
1,11,1,15,69,4,1,1,4,2
1,0,4,5,61,1,0,1,0,1
0,0,3,8,71,2,1,2,1,0
2,10,12,3,106,19,1,9,2,3
0,0,0,5,68,3,0,0,0,0
4,1,15,58,1,0,1,1,1,0
56,5,3,14,27,0,3,4,2,2
1,1,2,115,0,5,0,10,2,0
0,0,0,0,66,0,0,0,1,0
16,14,6,51,61,7,7,18,2,0
1,0,0,52,75,14,1,3,5,0
2,7,6,0,127,13,0,9,1,9
102,6,14,10,18,4,19,0,0,2
0,0,0,73,1,0,0,0,1,0
7,3,50,2,87,18,5,4,2,1
5,8,1,2,104,4,6,0,4,2
2,4,6,3,126,2,13,1,1,10
110,3,5,6,11,3,7,1,1,4
3,10,5,4,114,15,2,6,0,1
4,2,1,2,107,1,6,1,3,2
2,5,14,13,126,32,1,4,1,1
0,0,0,106,1,0,1,1,5,0
7,12,9,12,129,9,6,16,8,5
0,0,0,0,65,0,0,0,0,0
112,0,1,7,5,4,1,2,3,0
5,33,6,40,93,5,7,9,17,4
95,2,1,0,0,0,0,1,1,1
2,1,1,5,124,4,0,10,2,3
0,1,3,5,90,3,1,0,1,0
1,5,1,0,108,0,1,9,0,0
1,24,93,1,0,0,4,1,1,0
67,18,16,3,31,10,2,0,0,1
0,9,0,1,96,2,1,1,0,2
135,2,0,1,3,11,0,2,0,0
151,8,3,3,8,5,1,10,3,7
0,3,0,4,130,10,0,7,1,0
6,10,5,10,132,2,10,8,6,4
3,8,4,3,101,2,2,5,0,0
6,1,5,24,112,0,7,3,6,4
0,8,1,4,133,5,1,0,11,2
0,0,0,4,174,38,0,1,1,0
107,0,0,0,6,3,1,0,0,0
40,0,0,69,0,0,0,0,3,0
5,34,4,136,2,7,1,16,2,1
0,4,0,58,133,38,0,3,2,0
185,6,5,0,0,0,0,3,16,7
8,32,3,17,129,14,0,12,2,6
0,16,5,16,142,10,0,15,2,2
5,21,8,13,135,7,2,12,6,2
3,98,11,9,76,12,7,3,7,1
18,162,2,8,3,10,4,2,0,5
0,0,3,0,121,4,0,1,0,0
1,5,17,0,165,2,2,23,1,2
9,201,2,9,6,4,2,9,12,6
9,32,29,14,116,13,10,1,6,0
8,78,29,24,14,1,3,3,0,1
187,1,2,1,0,4,0,9,3,3
31,6,165,18,7,7,3,5,9,6
6,134,2,6,1,0,1,4,0,1
1,0,0,0,102,0,0,1,0,0
7,5,0,2,133,1,5,1,1,1
44,3,13,6,195,22,6,17,19,6
153,0,1,0,0,1,1,4,0,1
70,25,18,51,64,23,9,0,0,3
1,1,1,3,157,4,6,2,1,0
3,5,4,6,177,5,3,4,1,12
32,6,217,13,7,7,3,13,10,11
1,1,8,2,232,51,1,0,3,0
1,2,5,0,156,3,0,0,0,8
174,2,1,0,0,2,1,2,3,2
198,2,5,8,11,6,1,12,3,4
1,0,0,205,0,1,0,1,17,1
0,0,0,6,166,9,2,1,1,0
106,0,0,0,0,0,0,0,0,0
9,0,14,35,235,74,1,3,3,2
128,4,119,12,0,14,5,5,1,10
7,54,2,140,49,26,0,3,9,1
0,1,53,82,37,2,1,0,1,4
211,3,4,6,18,8,7,4,8,1
262,11,11,10,27,10,9,17,2,24
159,17,3,15,118,5,14,19,7,22
159,47,2,5,3,1,3,2,4,5
10,10,13,82,207,9,29,32,1,13
114,1,1,0,0,0,0,0,0,0
278,2,3,5,7,10,14,9,5,6
0,0,34,1,247,54,1,0,0,1
1,1,22,140,0,1,1,1,1,0
127,36,2,2,3,1,0,0,1,2
87,60,88,35,12,14,1,2,10,6
8,16,6,4,176,1,2,7,1,4
204,3,21,8,94,8,7,34,7,6
100,83,82,33,18,13,4,4,9,11
242,2,3,3,1,1,0,3,12,2
10,234,5,3,1,4,2,2,4,5
18,5,50,31,223,20,6,8,5,23
0,17,2,2,300,2,3,59,4,3
0,0,0,1,160,1,0,1,1,0
190,2,1,0,0,3,0,2,0,0
3,256,0,4,48,6,2,2,13,10
326,8,31,10,3,15,0,27,4,11
47,6,2,6,318,41,6,40,2,1
234,0,15,4,3,3,6,3,1,0
2,4,15,129,229,13,21,25,19,0
148,4,6,69,11,4,0,0,2,3
1,5,0,1,207,3,3,1,0,1
229,1,2,0,0,2,0,0,5,0
62,6,17,182,112,8,19,0,12,18
1,5,4,0,249,11,2,1,1,2
41,16,7,12,345,11,1,72,13,6
1,0,1,56,363,93,0,4,1,2
1,1,15,200,0,1,0,0,0,3
33,24,68,142,131,17,6,13,16,5
334,86,64,10,5,35,0,27,10,18
129,98,12,45,4,6,1,5,1,0
17,18,12,62,257,7,14,5,6,12
223,0,2,2,0,0,0,3,0,0
3,5,0,26,417,52,42,3,1,0
11,260,9,15,86,5,15,5,4,8
18,10,9,326,60,22,22,3,2,10
6,126,8,66,272,11,55,13,9,5
13,233,26,24,201,34,9,15,20,16
185,19,10,87,279,40,0,71,2,32
0,0,0,12,249,1,0,0,6,0
1,10,3,29,391,56,0,9,0,2
88,406,16,23,41,17,8,49,13,17
3,6,8,469,15,20,19,4,2,30
352,6,0,1,32,28,1,0,0,0
0,0,7,83,292,29,0,6,2,1
60,10,22,39,486,13,48,46,63,9
1,9,6,103,372,75,1,8,5,0
0,0,0,115,117,0,0,0,2,0
197,0,0,0,1,0,0,0,0,0
4,5,58,6,350,14,9,15,4,4
4,17,404,4,27,21,0,5,2,7
21,14,12,12,308,1,7,1,5,8
186,151,88,39,116,12,26,23,14,11
130,6,73,155,192,12,63,3,1,4
440,33,16,114,24,24,16,19,25,14
314,1,0,13,3,4,1,1,0,1
381,52,6,46,187,15,35,46,34,6
305,1,2,2,0,1,0,3,0,0
18,0,7,11,439,34,6,6,0,4
470,25,29,67,64,29,10,51,10,6
276,158,26,67,250,95,26,32,5,14
318,111,142,97,73,18,76,10,6,12
42,58,42,37,451,34,23,15,12,11
8,18,12,21,526,8,37,12,8,11
13,166,3,100,412,6,36,49,28,6
11,30,12,23,563,42,7,16,18,19
42,63,19,6,517,28,7,47,5,16
16,21,8,64,508,6,14,25,22,18
1,9,1,5,487,38,0,3,0,0
4,4,0,1,390,2,0,1,7,1
1,0,0,119,482,59,0,6,6,0
25,8,5,25,618,4,17,20,58,10
554,6,7,13,7,22,1,5,5,3
254,10,12,28,390,29,27,17,9,8
102,53,97,200,493,145,9,27,31,23
8,46,58,4,612,5,58,3,27,11
7,27,4,47,763,159,1,15,13,1
476,13,0,4,4,1,1,4,5,2
86,562,33,106,127,23,29,9,47,32
0,4,10,43,919,241,2,1,8,3
5,0,0,429,22,6,0,0,0,1
889,27,35,11,15,64,16,25,22,20
45,603,1,2,19,0,0,0,34,1
34,25,17,32,716,72,7,33,5,7
206,14,8,25,667,21,4,58,50,32
528,2,33,0,4,2,0,7,7,0
25,26,21,25,756,21,17,26,14,43
2,2,877,16,186,108,11,1,2,46
6,3,2,1,562,15,0,3,4,2
2,11,6,27,802,48,1,68,2,1
920,6,13,30,24,8,4,102,4,7
329,32,552,38,147,31,71,6,6,36
14,1002,9,19,3,6,55,56,0,2
783,5,3,9,4,9,2,3,23,7
228,1,694,1,5,1,5,0,56,4
18,10,2,13,770,3,35,7,18,5
759,46,45,33,151,60,6,28,3,18
4,923,6,4,11,4,12,2,4,38
2,1312,84,24,12,5,7,39,193,10
0,8,11,145,1299,412,2,26,9,1
0,0,2,0,472,0,0,1,0,1
0,0,0,4,521,3,0,0,0,1
870,83,116,93,73,43,79,1,5,24
3,27,0,8,691,17,1,1,3,5
2,53,11,53,949,95,1,16,11,1
0,18,10,697,925,455,0,12,3,0
27,59,62,633,962,34,281,186,3,5
0,0,12,0,735,19,1,0,0,1
158,106,143,94,1036,150,123,13,19,30
2,16,10,59,1157,149,0,27,8,2
96,523,29,186,642,41,101,64,24,24
1,1,5,66,825,26,1,7,1,7
1293,35,25,10,17,75,19,35,8,9
8,119,9,1629,45,13,78,67,27,182
26,46,29,515,1229,341,49,109,25,3
60,185,52,171,1019,33,8,134,75,13
6,1074,0,247,37,1,0,10,97,13
1208,2,36,7,8,10,1,27,33,19
0,4,1330,6,4,70,7,8,3,7
358,342,174,44,783,119,91,18,16,34
308,24,1433,130,61,112,93,40,46,19
4,2,0,608,1,0,0,0,1,0
162,103,465,45,1407,50,140,149,56,185
2,27,12,92,1510,224,3,8,14,1
34,959,8,217,178,23,30,5,4,15
173,405,135,135,1624,145,212,45,122,166
42,656,16,121,472,6,9,5,32,11
1,77,20,1,1536,10,6,171,20,8
0,1,3,1584,14,90,3,37,3,2
8,4,15,668,1255,189,87,19,7,2
30,15,1524,286,32,16,22,48,59,19
8,8,4,28,877,6,0,0,3,0
0,0,0,32,1266,57,3,1,1,0
794,0,0,0,0,0,0,1,0,0
25,0,1599,20,29,54,3,7,19,3
13,2,7,1208,3,6,2,6,9,5
681,26,36,623,464,121,27,2,10,7
0,19,24,48,1586,122,2,19,8,3
1727,52,4,72,13,54,36,41,9,2
29,1228,1,0,1,1,3,0,14,1
1827,121,42,23,77,54,13,69,21,27
506,48,1431,69,578,165,97,2,50,83
0,1,28,25,1542,76,4,8,1,1
79,2368,70,26,15,23,78,64,65,73
4,60,26,161,1540,32,4,41,41,12
1520,22,11,27,9,15,13,13,2,3
0,2,1,1,1193,3,7,0,2,0
4,21,3,304,1669,134,2,7,5,1
149,646,30,161,1940,145,165,30,34,77
18,0,0,0,993,0,0,1,0,0
0,3,7,9,1803,57,0,4,4,2
7,43,12,1553,2758,1302,3,38,14,2
2,254,12,234,2270,223,27,26,22,2
3186,24,44,21,206,167,32,210,28,22
35,43,22,12,1784,6,19,5,13,5
2,4347,52,12,28,6,50,20,347,320
7,16,3,25,1653,3,11,3,2,4
81,6,47,5,2702,12,3,215,3,2
79,69,28,235,2137,28,8,33,23,7
24,17,0,2,2362,18,6,13,32,0
4371,271,269,131,65,117,169,176,78,241
30,24,3137,527,79,78,23,24,46,76
768,781,139,294,2841,91,168,72,388,144
2676,7,4,10,1,5,12,25,1,1
4761,69,119,100,158,56,198,68,278,56
735,137,2495,210,2144,260,325,5,154,176
2784,2,1,2,1,3,3,5,3,0
28,54,22,795,4316,384,2,61,39,15
16,38,104,54,6541,956,25,187,32,7
2,63,12,459,5572,675,5,59,20,7
30,620,11,10,6815,17,14,1556,11,8
12,10,28,567,5359,532,4,62,29,14
92,970,70,856,7830,99,1022,785,184,613
505,1569,186,3990,5043,335,529,1755,50,432
230,8935,95,425,1298,1186,307,12,13,412
5632,11,39,18,73,25,11,63,32,13
3,0,1,30,3911,9,0,5,6,2
1404,1073,825,1233,8247,425,1298,806,282,483
421,4,158,24,5784,117,32,3,4,8
14625,245,294,132,174,298,213,752,333,334
376,7876,304,356,11056,1389,16,3063,77,130
1880,1904,641,125,18390,502,1219,502,652,2852
4365,1894,1560,11487,4634,1578,513,1087,1147,1140
164,107,156,1324,12868,82,165,367,96,197
13,90,100,2283,16035,1795,27,132,55,16
90,69,15830,147,160,122,139,9,201,124
214,322,662,360,22650,4075,9,687,30,66
667,1633,49,475,12300,147,256,66,84,61
512,2603,30,2084,15505,96,26,48,629,1128
27415,337,1113,302,179,811,200,3064,265,164
4,65,67,368,16438,451,10,168,32,10
31907,219,1105,148,23,651,277,1538,305,1092
154,102,22706,3656,895,269,197,291,226,417
46084,439,1591,117,102,2713,177,5539,655,1168
172,570,1255,468,29853,298,575,981,480,368
7749,5892,668,10737,35881,2465,241,7750,979,274
159,1352,414,5839,39738,3281,66,717,451,95
861,59172,1328,1241,631,1180,813,1110,1256,1236
13,759,77,252,45711,37,73,2164,57,27
223,496,318,9994,64282,9074,142,1028,503,115
1457,90941,2117,1324,415,1132,1934,1185,2711,1864
1615,2832,77150,34863,5117,1290,4228,1713,4048,2896
2720,139511,4017,3366,1690,4553,1723,5375,3569,3093
4399,2629,62671,73380,11773,3645,2468,6383,5134,2166
145767,2658,4185,540,410,4167,328,3475,1991,640
178000,2292,7071,2128,248,5669,859,9816,3033,962
2640,71274,5641,22766,168871,8446,27033,11259,6072,7705
688102,5620,29933,2755,2169,27512,1229,31020,13036,5623
