Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Population elastic ID	Data collections
SC_GMMAN5482299	male		GWD	Gambian Mandinka	AFR	African Ancestry	GWD	Gambian Genome Variation Project (GRCh37),Gambian Genome Variation Project (GRCh38)
SC_GMMAN5482307	male		GWD	Gambian Mandinka	AFR	African Ancestry	GWD	Gambian Genome Variation Project (GRCh37),Gambian Genome Variation Project (GRCh38)
SC_GMMAN5482268	female		GWD	Gambian Mandinka	AFR	African Ancestry	GWD	Gambian Genome Variation Project (GRCh37),Gambian Genome Variation Project (GRCh38)
SC_GMMAN5482340	female		GWD	Gambian Mandinka	AFR	African Ancestry	GWD	Gambian Genome Variation Project (GRCh37),Gambian Genome Variation Project (GRCh38)
SC_GMMAN5482251	male		GWD	Gambian Mandinka	AFR	African Ancestry	GWD	Gambian Genome Variation Project (GRCh37),Gambian Genome Variation Project (GRCh38)
SC_GMMAN5482220	female		GWD	Gambian Mandinka	AFR	African Ancestry	GWD	Gambian Genome Variation Project (GRCh37),Gambian Genome Variation Project (GRCh38)
SC_GMMAN5482244	female		GWD	Gambian Mandinka	AFR	African Ancestry	GWD	Gambian Genome Variation Project (GRCh37),Gambian Genome Variation Project (GRCh38)
SC_GMMAN5482181	male		GWD	Gambian Mandinka	AFR	African Ancestry	GWD	Gambian Genome Variation Project (GRCh37),Gambian Genome Variation Project (GRCh38)
SC_GMMAN5482213	female		GWD	Gambian Mandinka	AFR	African Ancestry	GWD	Gambian Genome Variation Project (GRCh37),Gambian Genome Variation Project (GRCh38)
HG02569	male	SAME1839892	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02571	female	SAME1839577	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02583	female	SAME1839429	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02588	male	SAME1839404	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02590	male	SAME1839222	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02595	female	SAME1839204	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02610	male	SAME1840405	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02615	female	SAME1840380	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02622	female	SAME1840185	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02634	male	SAME1840031	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02646	female	SAME1839770	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02465	female	SAME1839973	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02463	male	SAME1839983	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02800	male	SAME1840000	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02805	female	SAME1840081	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02812	male	SAME1839846	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02817	female	SAME1839819	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02836	male	SAME1839428	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02855	female	SAME1839330	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02862	female	SAME1839123	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02704	female	SAME1840134	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02716	female	SAME1839981	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02723	female	SAME1839742	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02759	male	SAME1839445	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02612	male	SAME1840394	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02761	female	SAME1839262	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02624	female	SAME1840259	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
